"GLOBAL","PROPERTIES","","","","","","","","","","","","","","","","","","","",""
"","front
value:none
key: where,forward, front, around
description: in front of you
after word:yes
type:orientation","right
value:none
key: where, right, around
description: at your right
after word:yes
type:orientation","back
value:none
key: where, back, backwards, behind, around
description: behind you
after word:yes
type:orientation","left
value:none
key: where, left, around
description: at your left
after word:yes
type:orientation","link
value:none
description:to {value}
after word:yes","","","","","","","","","","","","","","","",""
"interior","$ enter
set(! player>tileset, >tileset)
set(! player>coords, >start coords)
set(! player>hourRate, 10)
set(#interior, this)
set(#current tile, [>start coords])
set(!player>orientation, north)
describe(_TILE)","tileset:{new tileset}","start coords:5/5","rooms
tiles:
bathroom
children's room
bedroom
kitchen
toilets","$ go
describe","contents
window:4*50
window:1","","","","","","","","","","","","","","",""
"tile","$ go
X (ENABLED, ! player>blocked)
set(! player>coords, >coords)
add(!player>moves, 1)
set(! player>orientation, >ANY orientation)
describe(_TILE)","weight:0
capacity:1000
max items:1000","","","","","","","","","","","","","","","","","","",""
"","cardinal
value:north
description:goes north
after word:yes","","","","","","","","","","","","","","","","","","","",""
"","weight
value:0
description:(on key) about {value}g heavy","capacity
value:0
description:(on key) can carry up to {value}
key:carry","max items
value:0","","","","","","","","","","","","","","","","","",""
"","armor1
value:0
description:wearing something","armor2
value:0
description:wearing something","armor3
value:0
description:wearing something","","","","","","","","","","","","","","","","","",""
"","equipment
target:","","","","","","","","","","","","","","","","","","","",""
"growable","vegetable
value:{type/vegetable}
description:(always) {value}","growing
value:0m50
description:
just planted / slowing starting to grow / starting to sprout / showing a little green leaf / growing fine / shows flower blooming / will grow in a few days / just about to grow
layer:1

OnValue:ABOVE 50
disable(>watering)
createItem(vegetable)
destroy","watering

value: 18m20

description:
about to die / completly dry / drying / turning a little yellow / looking a little tired / looking watered / looking green / watered / just watered
layer:1

OnValue:0
disable(>growing)
disable(>watering)
enable(>dead)","*dead
description: dead","$ water
add(>watering, >[ANY water].water)","E OnRain
update(>watered, 0)","E OnHours
sub(>watering, 1)
add(growing, 1)","","","","","","","","","","","","","",""
"water container","water
value:0?10
description:
empty / almost empty / half full / almost full / full
layer:1","$ fill
add(>water, >[ANY water].water)","E OnRain
add(>water, 10)","","","","","","","","","","","","","","","","","",""
"dirty","clean

value: 0

description:
looks clean / looks a little fishy / looks soiled

layer:1

e:OnHours
add(>clean, 1)

OnValue:10
disable(>clean)
enable(>soiled)","*soiled

description:
it has a smell

layer:1

onVerb:drink
sub(!player>health, 1)","","","","","","","","","","","","","","","","","","",""
"consumable","food
value:x
max:10
description:
hardly nourishing / poorly nourishing / rather nourishing / pretty nourishing / extremely nourishing / a feast
layer:1
OnValue:0
destroy","$ eat
X (Same, ! player>hunger, 0)
sub(!player>hunger, >food)"," ","","","","","","","","","","","","","","","","","",""
"sleep","confort
value:0
max:10
description:
(looks) very unconfortable / rather unconfortable / rather confortable / very confortable / like a very good sleep
layer:1","$ sleep
disable(!player>sleep)
wait(!player>sleep)
enable(!player>sleep)
sub(!player>slep, confort)","","","","","","","","","","","","","","","","","","",""
"drinkable","hydrate
value:x
max:10
description:
hardly hydrating / poorly hydrating / rather hydrating / pretty hydrating / extremely hydrating
layer:1
OnValue:0
destroy","$ drink
sub(!player>thirst, hydrate)","","","","","","","","","","","","","","","","","","",""
"","ignate
value:1m10
description: it can light stuff","","","","","","","","","","","","","","","","","","","",""
"flammable","*burning
value:10m10
description:extinguished / about to go out / weakly burning / burning / blazing

OnValue:0
trigger(go out)","*source of light
description: lighting things around","! go out
disable(>burning)
disable(>source of light)","E OnHours
sub ( >burning, 5 )","E OnFlames
enable( >burning )
enable( >source of light )","","","","","","","","","","","","","","","",""
"equipable","$ equip
X  (Enabled, ! Body Part : player.{THIS>body part} > Armor : armor{THIS>layer}, enabled)
transferTo( ! Body part )
enable(>! Body Part > Armor )
add(! Body Part > Armor, >armor)","$ take off
X  (>wearing, enabled)
sub(! player.{body part}>armor{layer}, >armor)
disable(>wearing)
disable(!player.{body part}>armor{layer}, >armor)
transferTo(! tile)","armor:0
body part:none
layer:0","*wearing
description:[]
i'm wearing it","","","","","","","","","","","","","","","","",""
"humanoid","coords:1/1","tileset:0","orientation
value:north","contents
head:1
neck:1
torso:1
left hand:1
right hand:1
shoulders:1
left arm:1
right arm:1
legs:1
left foot:1
right foot:1","","","","","","","","","","","","","","","","",""
"x","strenght
value:1?10
max:10
description:(on key)
very weak / weak / not particulary muscled / pretty powerful / strenghful / very powerful / extremely strenghtful","dexterity
value:1?10
max:10
description:(on key)
very clumbsy / clumbsy / not particulary handy / pretty sure handed / dexterous / very handy / extremely handy","agility
value:1m10
description:(on key)
stiff and lumbering / graceless / not particulaly agile / lightfooted and flexible / very graceful / feline like","hit chance
value:[% >dexterity X 10]","","","","","","","","","","","","","","","","",""
"x","","hit chance
value:[% >dexterity X 10]","dodge chance
value:[% >agility X 10]","","","","","","","","","","","","","","","","","",""